4543503295	5	4013	e03eb391bf
4543503476	5	4065	08687e7325
4543504076	5	4043	5eaab4efe3
4543504129	5	4044	c0b7071a86
4543504575	5	4039	871e0beb74
4543504634	5	4058	d0b1c0496c
4543507346	5	4053	044f1bab92
4543507526	5	4032	c3a5c62637
4543509770	5	4032	b0798927a2
4543512428	3	2702	2b795b4b61
4543512728	5	4060	e61939a6eb
4543514178	5	4047	59ec0f5e06
4543514335	5	4051	fab9d2b290
4543515124	5	4029	0a58280882
4543516243	5	4058	b4daf706ff
4543516504	5	4052	e598cc6363
4543517654	5	4024	45f67f28b8
4543518159	5	4028	cd1f9ff7c5
4543520557	5	4017	f07c2160cb
4543520861	5	4025	e97b212215
4543522630	5	4049	6b4411b9ab
4543526000	5	4005	0cfa9a16f6
4543528831	5	4021	23362abc8a
4543531194	5	4040	fbf25be660
4543532170	5	4055	52534b54b5
4543532209	5	4015	7e2c0770bd
4543533830	5	4029	0822eef54a
4543536057	5	4021	1c36128875
4543536617	5	4071	d59893d836
4543537281	5	4039	97b35591f9
4543537446	5	4061	9ff0832162
4543538707	5	4057	f379d8196b
4543538809	5	4050	ab8e6df831
4543539697	5	4031	faf83903a8
4543540138	5	4036	fc7424e6ed
4543541319	5	4026	ec90936b67
4543543541	5	4044	9d3e7bc9c8
4543543968	5	4045	2c86ce210a
4543545576	5	4056	90404b1e11
4543548153	5	4059	30974fa7ac
4543548415	5	4021	3f6658f6b9
4543550313	5	4045	c763b3a765
4543551322	5	4057	06423cf9ff
4543552349	5	4016	97bf58bc58
4543553141	1	45	8a3ca1c864
4543554268	5	4006	83322e638a
4543554847	1	218	91c607863c
4543555008	5	4047	0c238cb640
4543555050	5	4009	1aa9af55cc
4543555573	5	4054	b080ea60fb
4543557050	5	4024	5aa0a22032
4543559345	5	4045	2b3e2e656d
4543559507	5	4028	f4a05c0239
4543560464	5	4047	ce01b2f025
4543560831	5	4036	5c4bbeaea1
4543561934	5	4016	82f55337ce
4543564759	5	4037	917a53cbde
4543565407	5	4069	5eb9a214c9
4543565468	5	4062	f7c7e31e8e
4543566246	5	4041	acdaf2f107
4543566448	5	4011	6cb66f8190
4543567460	5	4051	3daa9639b2
4543568438	5	4040	7a2e94f1aa
4543569705	5	4009	06cdbdbd70
4543571467	5	4065	e398413665
4543574895	5	4052	82c8553686
4543575195	5	4036	61c8949deb
4543575979	5	4053	28ef9682ee
4543576252	5	4049	cfecb18bf0
4543576471	5	4033	8b0a8679a8
4543576744	5	4016	95dd4311bd
4543578054	3	2738	f23b9d7aab
4543578197	5	4025	dd9da41ceb
4543578702	5	4008	c3d68aaba1
4543578818	5	4061	d8633e2f63
4543579549	5	4023	7c0978666d
4543579745	5	4043	82b5f5ce76
4543580326	5	4019	a1091f0858
4543580476	5	4004	1b525308fb
4543584487	5	4049	e418b4fdcb
4543587529	5	4015	4d8cfe5fe9
4543588309	5	4008	fb1a2ae05f
4543589527	5	4008	9ab7b55502
4543591250	5	4027	42b3afce6c
4543591991	5	4072	afb8f8084f
4543592932	5	4034	41fec16abf
4543593551	5	4036	4e2d31701d
4543594419	5	4001	ebbfd5e35f
4543595240	5	4062	3e1d8757f9
4543596749	5	4053	ebd6488b82
4543599691	5	4070	c4db2fa06c
